Wk,Day,Date,Time,Venue,Team,Opponent,Team_Code,Opp_Code,Past_Encounters_Score,Recent_Form_Score,GF,GA,SoT,PK,PKatt,GF_Scaled,GA_Scaled,SoT_Scaled,PK_Scaled,PKatt_Scaled,Key_Stats_Score,Unpredictability_Factor
23.0,Fri,2025-02-07,21:00,Estadio del Rayo Vallecano,Rayo Vallecano,Valladolid,19,25,14.0,16.5,1.6666666666666667,1.1666666666666667,4.166666666666667,0.0,0.0,0.42857142857142855,0.3333333333333334,0.46153846153846156,0.0,0.0,6.117216117216118,5
23.0,Sat,2025-02-08,14:00,Estadio Abanca Balaídos,Celta Vigo,Real Betis,6,20,7.0,10.5,1.1666666666666667,1.0,4.0,0.0,0.0,0.21428571428571433,0.22222222222222224,0.4230769230769231,0.0,0.0,4.297924297924299,4
23.0,Sat,2025-02-08,16:15,San Mamés,Athletic Club,Girona,2,11,7.0,22.5,1.5,0.6666666666666666,4.333333333333333,0.0,0.0,0.35714285714285715,0.0,0.4999999999999999,0.0,0.0,4.285714285714285,5
23.0,Sat,2025-02-08,17:30,Estadio de Gran Canaria,Las Palmas,Villarreal,14,26,14.0,9.0,1.0,1.3333333333333333,4.333333333333333,0.0,0.16666666666666666,0.14285714285714288,0.4444444444444444,0.4999999999999999,0.0,0.3333333333333333,7.103174603174603,5
23.0,Sat,2025-02-08,21:00,Estadio Santiago Bernabéu,Real Madrid,Atletico Madrid,21,3,0.0,25.0,3.0,1.3333333333333333,6.5,0.3333333333333333,0.5,1.0,0.4444444444444444,1.0,0.6666666666666666,1.0,20.555555555555554,2
23.0,Sun,2025-02-09,14:00,Estadio de Mendizorroza,Alaves,Getafe,0,10,7.0,5.5,1.5,1.3333333333333333,2.3333333333333335,0.5,0.5,0.35714285714285715,0.4444444444444444,0.038461538461538526,1.0,1.0,14.200244200244201,3
23.0,Sun,2025-02-09,16:15,Estadio de Mestalla,Valencia,Leganes,24,15,0.0,1.5,0.8333333333333334,2.0,2.1666666666666665,0.16666666666666666,0.16666666666666666,0.07142857142857145,0.888888888888889,0.0,0.3333333333333333,0.3333333333333333,8.134920634920634,2
23.0,Sun,2025-02-09,18:30,Reale Arena,Real Sociedad,Espanyol,22,9,14.0,9.0,0.6666666666666666,1.0,3.3333333333333335,0.0,0.0,0.0,0.22222222222222224,0.2692307692307693,0.0,0.0,2.4572649572649574,5
23.0,Sun,2025-02-09,21:00,Estadio Ramón Sánchez Pizjuán,Sevilla,Barcelona,23,4,0.0,9.5,1.6666666666666667,1.8333333333333333,4.0,0.0,0.16666666666666666,0.42857142857142855,0.7777777777777777,0.4230769230769231,0.0,0.3333333333333333,9.813797313797313,3
23.0,Mon,2025-02-10,21:00,Estadi Mallorca Son Moix,Mallorca,Osasuna,17,18,7.0,5.5,0.6666666666666666,2.1666666666666665,2.1666666666666665,0.16666666666666666,0.16666666666666666,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,8.333333333333332,1
